feat,corr,corr_log,corr_abs,corr_log_abs,values
48df886f9,0.010188021496986742,0.008004854786918132,0.010188021496986742,0.008004854786918132,39
0deb4b6a8,0.013804750844788468,-0.0008812358731616068,0.013804750844788468,0.0008812358731616068,4
34b15f335,0.01469438371708199,0.025377776688119844,0.01469438371708199,0.025377776688119844,33
a8cb14b00,-0.0029170527500111424,0.00925709268040287,0.0029170527500111424,0.00925709268040287,2
2f0771a37,0.016647324283901796,0.01897561608111789,0.016647324283901796,0.01897561608111789,5
30347e683,-0.019785513958018457,-0.013145141988772237,0.019785513958018457,0.013145141988772237,47
d08d1fbe3,0.004417148410137944,0.01270473934469216,0.004417148410137944,0.01270473934469216,5
6ee66e115,-0.01553825697893821,-0.02588125066156458,0.01553825697893821,0.02588125066156458,5
20aa07010,0.22903542978290317,0.15941851858644515,0.22903542978290317,0.15941851858644515,1494
dc5a8f1d8,0.021538027852969988,0.02135592151547405,0.021538027852969988,0.02135592151547405,123
11d86fa6a,-0.0027434208622911065,0.00877963975264704,0.0027434208622911065,0.00877963975264704,165
77c9823f2,0.061948849090127316,0.025785173407877133,0.061948849090127316,0.025785173407877133,1
8d6c2a0b2,0.02248838821047356,0.024791788343231553,0.02248838821047356,0.024791788343231553,6
4681de4fd,0.145137262494409,0.09211786013580887,0.145137262494409,0.09211786013580887,519
adf119b9a,0.17179452080813457,0.09320835482374033,0.17179452080813457,0.09320835482374033,160
cff75dd09,0.02882948720315402,0.028109105720267393,0.02882948720315402,0.028109105720267393,35
96f83a237,-0.0009082105867818941,0.008341071153497024,0.0009082105867818941,0.008341071153497024,25
b8a716ebf,0.019349207721830994,0.04318873255895059,0.019349207721830994,0.04318873255895059,334
6c7a4567c,0.0020810027244897223,0.017803416861282992,0.0020810027244897223,0.017803416861282992,28
4fcfd2b4d,-0.018735217370731323,-0.018706852476016125,0.018735217370731323,0.018706852476016125,27
f3b9c0b95,0.0316240948164528,0.030289437175543527,0.0316240948164528,0.030289437175543527,39
71cebf11c,-0.010545599337911488,-0.013211499001457919,0.010545599337911488,0.013211499001457919,21
d966ac62c,0.14128033011991759,0.08120327468467219,0.14128033011991759,0.08120327468467219,79
68b647452,0.02193882951565364,0.03840545212149153,0.02193882951565364,0.03840545212149153,131
c88d108c9,-0.02178732145297353,-0.05069245228013908,0.02178732145297353,0.05069245228013908,11
ff7b471cd,0.01982423563441318,0.025788862923481842,0.01982423563441318,0.025788862923481842,4
0d866c3d7,0.021721263967663395,0.027637473636706992,0.021721263967663395,0.027637473636706992,256
bc3f77679,-0.0005049880284683943,0.005827945813413269,0.0005049880284683943,0.005827945813413269,39
bd8f989f1,0.03146632148569606,0.05982048733800327,0.03146632148569606,0.05982048733800327,560
0eff5bf95,-0.0071146289361880615,-0.005819981168663198,0.0071146289361880615,0.005819981168663198,10
22ed6dba3,0.08375882469668511,0.08085840361466706,0.08375882469668511,0.08085840361466706,745
92b13ebba,-0.005374220349391268,0.02468769343064894,0.005374220349391268,0.02468769343064894,315
233c7c17c,-0.009321573407691906,0.009812572964114846,0.009321573407691906,0.009812572964114846,217
2cb4d123e,0.019561107718950706,0.023243899303051145,0.019561107718950706,0.023243899303051145,146
87ffda550,0.1756180977040856,0.12731300643122714,0.1756180977040856,0.12731300643122714,754
822e49b95,0.16408475721108956,0.1110918325845015,0.16408475721108956,0.1110918325845015,712
316b978cd,0.08961633320832561,0.04694196802395139,0.08961633320832561,0.04694196802395139,120
d04e16aed,-0.01295179709851048,-0.006873252709262161,0.01295179709851048,0.006873252709262161,299
5d5c5ce6d,-0.0009188587510208755,0.005388874819869939,0.0009188587510208755,0.005388874819869939,34
ec863cb52,-0.005292205269727736,0.003904247069118475,0.005292205269727736,0.003904247069118475,42
11ad148bd,-0.0249514249687439,-0.019694580010895267,0.0249514249687439,0.019694580010895267,126
ea18d720e,0.07698157506247573,0.05177012377771766,0.07698157506247573,0.05177012377771766,109
408d86ce9,0.007260183285111605,0.03165289304272767,0.007260183285111605,0.03165289304272767,168
69d8b4020,0.010265290017680022,0.02380842003933258,0.010265290017680022,0.02380842003933258,15
b0868a049,0.01850633541574942,0.023945591914662695,0.01850633541574942,0.023945591914662695,69
80b14398e,0.027485838948526655,0.0343554381934269,0.027485838948526655,0.0343554381934269,325
ecdef52b2,-0.005745338512463995,0.004493055555927063,0.005745338512463995,0.004493055555927063,117
c36bcacc5,-0.01002332629121593,-0.012481967404258902,0.01002332629121593,0.012481967404258902,2
151d318cd,0.029151838793990848,0.025541219522621332,0.029151838793990848,0.025541219522621332,40
ab0cddb90,0.00819017875776737,0.011576123748843252,0.00819017875776737,0.011576123748843252,10
2d6bd8275,0.0517250159374468,0.05030989733303126,0.0517250159374468,0.05030989733303126,205
dfdf4b580,-0.0019587872065544433,0.01442167202387732,0.0019587872065544433,0.01442167202387732,149
c87722678,0.015832195366741734,0.018191421639211523,0.015832195366741734,0.018191421639211523,5
a8c320153,-0.00815159774475682,0.0022427089043348613,0.00815159774475682,0.0022427089043348613,44
a04684f1f,0.007774605097862274,0.017452011883720465,0.007774605097862274,0.017452011883720465,35
fa977f17b,0.0011832977248963817,0.00783814893563138,0.0011832977248963817,0.00783814893563138,34
feed9d437,-0.029010457607314057,-0.035433016207759384,0.029010457607314057,0.035433016207759384,249
645b47cde,0.06023837085421972,0.055262972357304874,0.06023837085421972,0.055262972357304874,167
7298ca1ef,-0.016224423086702088,-0.016295326181891147,0.016224423086702088,0.016295326181891147,147
d80abf8bc,0.07312258237854502,0.03701207379185849,0.07312258237854502,0.03701207379185849,33
654dd8a3b,0.054552607529521166,0.04621632592923713,0.054552607529521166,0.04621632592923713,294
7fc39583c,-0.020346448143891863,-0.023446815322959197,0.020346448143891863,0.023446815322959197,19
8c94b6675,-0.0003893916196323256,0.011343335048824947,0.0003893916196323256,0.011343335048824947,355
e421c414e,0.006838639787177097,0.007743021332394685,0.006838639787177097,0.007743021332394685,38
964335fdf,-0.014205925604390626,-0.013666591617160138,0.014205925604390626,0.013666591617160138,6
5a86cabd0,-0.006043434164698978,0.013916611809347569,0.006043434164698978,0.013916611809347569,26
6cb207ac9,-0.014633626405532776,-0.003073193284101866,0.014633626405532776,0.003073193284101866,17
c1bc828da,-0.01354487498622785,-0.023063177816427662,0.01354487498622785,0.023063177816427662,3
e90ed19da,0.007376501763526323,0.01392584216625395,0.007376501763526323,0.01392584216625395,1
c4d38135f,-0.005864029269114039,0.0070479579642410495,0.005864029269114039,0.0070479579642410495,24
968b01ca3,0.0013238577116695036,0.0008915323038877834,0.0013238577116695036,0.0008915323038877834,7
26b423c42,-0.022856367016822803,-0.007728203159012562,0.022856367016822803,0.007728203159012562,40
0656586a4,-0.014660539747606229,-0.013517828287186303,0.014660539747606229,0.013517828287186303,124
b4ced4b7a,0.03846966024551929,0.033725408877192824,0.03846966024551929,0.033725408877192824,173
0b8e10df6,0.006248999754015611,0.010163574997781989,0.006248999754015611,0.010163574997781989,315
603e85eb7,0.004114395681465274,0.012403570010979288,0.004114395681465274,0.012403570010979288,4
605728195,-0.007003269764541555,0.01064231282783738,0.007003269764541555,0.01064231282783738,43
4e8196700,-0.01183500680391488,0.010312931763053626,0.01183500680391488,0.010312931763053626,128
f115e74c0,0.0008020837772625667,0.012548447029899705,0.0008020837772625667,0.012548447029899705,224
9ca0eee11,0.03491479207037567,0.042958010892007896,0.03491479207037567,0.042958010892007896,320
472cd130b,0.0016742688624100345,0.01727604800985459,0.0016742688624100345,0.01727604800985459,256
ee7e4581d,0.01960423540769265,0.017177498590662168,0.01960423540769265,0.017177498590662168,29
3e0e55648,0.016933726040211816,-0.015835590490028036,0.016933726040211816,0.015835590490028036,88
a939664aa,0.012406971888415878,0.0052987087476640635,0.012406971888415878,0.0052987087476640635,68
b0f5ed414,0.0243573126243244,0.034632612657951874,0.0243573126243244,0.034632612657951874,73
a72e0bf30,0.0016082836896325339,0.00333742406761589,0.0016082836896325339,0.00333742406761589,104
e662f1672,0.00940353049662508,0.016785515534254326,0.00940353049662508,0.016785515534254326,72
54b1c1bc0,0.0017683890550542975,0.02223454860964879,0.0017683890550542975,0.02223454860964879,351
ec1425047,0.012975978408472049,0.038921233531885625,0.012975978408472049,0.038921233531885625,144
78a879b5d,-0.006811848850981678,0.005270131824141055,0.006811848850981678,0.005270131824141055,13
bd550871c,-0.022405187009799366,0.00139129560367701,0.022405187009799366,0.00139129560367701,134
828b327a6,-0.01202495404324867,-0.0120665014880394,0.01202495404324867,0.0120665014880394,240
3268914c7,0.003083128891258187,0.019745669418139374,0.003083128891258187,0.019745669418139374,84
21e0e6ae3,-0.005878378515751164,0.006213145016072916,0.005878378515751164,0.006213145016072916,254
ec73030f6,-0.000828174414232878,0.009825666505269995,0.000828174414232878,0.009825666505269995,7
c5b30277a,0.043552059355490294,0.022608649837641003,0.043552059355490294,0.022608649837641003,17
c16a7d537,0.0011426331595139868,0.010076394682771153,0.0011426331595139868,0.010076394682771153,38
64534cc93,0.243661044716358,0.14485112414934437,0.243661044716358,0.14485112414934437,341
bd6671d31,-0.011134330166067633,-0.031929888711972484,0.011134330166067633,0.031929888711972484,4
0f8d7b98e,0.01001539222296979,0.032235011366440636,0.01001539222296979,0.032235011366440636,325
aab0aeb4b,-0.0012073647667378625,0.009167874193894936,0.0012073647667378625,0.009167874193894936,31
9a9b4a012,0.04177019629911911,0.025606789744467333,0.04177019629911911,0.025606789744467333,26
8367dfc36,-0.005862548188818637,0.022621917245660695,0.005862548188818637,0.022621917245660695,207
251d1aa17,0.10845920753159752,0.055935457745368136,0.10845920753159752,0.055935457745368136,665
92e056c5c,-0.01681295485745291,-0.018240684701868532,0.01681295485745291,0.018240684701868532,37
c377b9acf,0.007386791203463796,0.014486845057199174,0.007386791203463796,0.014486845057199174,2
e0f6a993a,-0.011725709206265358,-0.012771152832857676,0.011725709206265358,0.012771152832857676,20
f3e544d66,0.005549172498736326,0.015079110781127367,0.005549172498736326,0.015079110781127367,17
0cb171797,-0.001176062045876464,0.00015221150988609282,0.001176062045876464,0.00015221150988609282,28
80c0c9910,-0.004644409622957373,0.012653605533373982,0.004644409622957373,0.012653605533373982,43
9f8df01bd,-0.0007171780443585562,0.011893946342777068,0.0007171780443585562,0.011893946342777068,73
0a69cc2be,0.034641921436049335,0.0389828538557881,0.034641921436049335,0.0389828538557881,285
563d2f09a,0.020526421654899523,0.013884721764462262,0.020526421654899523,0.013884721764462262,3
963a49cdc,0.22941379267658285,0.15705943734017308,0.22941379267658285,0.15705943734017308,1471
7ee833549,0.16370125702227062,0.09036760961260483,0.16370125702227062,0.09036760961260483,74
