feat,rf_imp_score
f190486d6,0.4524269205608395
15ace8c9f,0.10529241054266301
eeb9cd3aa,0.07602293241307623
58e2e02e6,0.06719812720687343
715fa74a4,0.014183914106398616
9306da53f,0.012568013710523705
66ace2992,0.008791658684584288
9fd594eec,0.007841546355329462
58232a6fb,0.0076963538578680565
a60027bb4,0.00727836686671603
2ec5b290f,0.007147095078796787
20aa07010,0.005088696334706846
e2b4d4ef7,0.004880143171758858
6786ea46d,0.004660911280012238
1702b5bf0,0.00433230404895523
e9c7ccc05,0.004054195061052606
50e4f96cf,0.0038754837195676063
1db387535,0.0036263573366902956
23310aa6f,0.0033556184700668256
e8f065c9d,0.0032317212502098263
491b9ee45,0.0030485901806137626
32174174c,0.003017000953420476
f514fdb2e,0.0029365557441426676
d6bb78916,0.0028939951734033784
0572565c2,0.0027071191054599806
fc9d04cd7,0.0026701694593522676
994b4c2ac,0.002481997390977787
f977e99dc,0.002481763015150486
59cafde1f,0.0023926260515438067
ff3ebf76b,0.002392335167854401
f2520b601,0.0023846255008296985
f74e8f13d,0.0023339879194608257
fbaed5913,0.0022693290260866407
fb0f5dbfe,0.0021556486062125207
7a7da3079,0.0021488258362662837
b43a7cfd5,0.002121988989778906
08d203407,0.002064938024124736
17b81a716,0.0020495003332405212
024c577b9,0.002016450763179695
26ab20ff9,0.0019882921788726186
186b87c05,0.0019139782434189308
241f0f867,0.0018327913869378401
e176a204a,0.00182359100517029
50780ec40,0.0017866419926161566
2c136905e,0.0017751494068927484
93c1eecb4,0.0017122833021869668
9aa27017e,0.0017058303290886435
82f715995,0.0014917624208978203
dd85a900c,0.0014811199818612001
70feb1494,0.001444433745836218
707f193d9,0.0014194641238838214
300398f1c,0.0014069006410438614
2ad744c57,0.0014014572437188266
1931ccfdd,0.0013880811573057513
3da2882fd,0.001346753328109776
62e59a501,0.001324087580339303
06393096a,0.0013136870821257424
7210546b2,0.0012923968175816282
172a58959,0.0012861798356537915
a5f8c7929,0.0012781853887101438
a00a63886,0.0012741488208258677
5f5cfc3c0,0.0012697979287651542
26cc05472,0.0012463735517645954
703885424,0.001230090257531265
cbf236577,0.0012109537838943891
0ccd5ff1c,0.0011961432415166
0ff32eb98,0.0011896956527303192
3f8854df3,0.0011765355576768115
83635fb67,0.0011713256104083436
c5a231d81,0.001153068705279419
963a49cdc,0.001151731031907426
83c3779bf,0.0011083626697570377
a76ad8513,0.00110517420865224
bc70cbc26,0.0011045908431729504
06b19b6c4,0.0010961142370553138
e222309b0,0.0010856858783670946
6619d81fc,0.00107721842504868
76a75bd91,0.0010729150984410487
f8b733d3f,0.0010716291727064162
56cb93fd8,0.0010672017603122542
277ef93fc,0.0010663260154581621
e17f1f07c,0.0010495409825294537
6c0e0801a,0.001017081148074054
77697c671,0.001016241053172387
190db8488,0.0010117132102757378
c928b4b74,0.0010014901834566302
d3b9b9a70,0.0009711308382900891
98082c8ef,0.000968784575206423
c4972742d,0.0009451303907833064
0e3ef9e8f,0.0009349700749234319
9a9fc1aba,0.0009187657757284155
44f2f419e,0.0009041776530961883
3e1100230,0.0008846432122002875
8e028d2d2,0.0008772593497326499
b30e932ba,0.0008621947391291141
5831f4c76,0.0008434803256118073
896d1c52d,0.000789986100329367
4bf2b8e7c,0.0007828488631966977
91f701ba2,0.0007678107319857058
d7d314edc,0.0007675272498779581
